Source,Target,Type,id,label,timeset,weight
0,100,Undirected,0,,,1.0
1,582,Undirected,1,,,1.0
2,628,Undirected,2,,,1.0
3,157,Undirected,3,,,1.0
4,582,Undirected,4,,,1.0
5,683,Undirected,5,,,1.0
6,527,Undirected,6,,,1.0
6,706,Undirected,7,,,1.0
6,103,Undirected,8,,,1.0
7,235,Undirected,9,,,1.0
8,502,Undirected,10,,,1.0
9,57,Undirected,11,,,1.0
10,235,Undirected,12,,,1.0
11,315,Undirected,13,,,1.0
11,748,Undirected,14,,,1.0
12,235,Undirected,15,,,1.0
13,157,Undirected,16,,,1.0
13,731,Undirected,17,,,1.0
14,297,Undirected,18,,,1.0
15,527,Undirected,19,,,1.0
15,115,Undirected,20,,,1.0
17,264,Undirected,22,,,1.0
18,277,Undirected,23,,,1.0
18,538,Undirected,24,,,1.0
19,146,Undirected,25,,,1.0
19,677,Undirected,26,,,1.0
19,368,Undirected,27,,,1.0
19,329,Undirected,28,,,1.0
19,106,Undirected,29,,,1.0
19,668,Undirected,30,,,1.0
19,467,Undirected,31,,,1.0
20,628,Undirected,32,,,1.0
21,100,Undirected,33,,,1.0
22,566,Undirected,34,,,1.0
23,235,Undirected,35,,,1.0
24,244,Undirected,36,,,1.0
25,715,Undirected,37,,,1.0
25,323,Undirected,38,,,1.0
26,297,Undirected,39,,,1.0
27,264,Undirected,40,,,1.0
28,277,Undirected,41,,,1.0
29,144,Undirected,42,,,1.0
30,326,Undirected,43,,,1.0
30,89,Undirected,44,,,1.0
30,457,Undirected,45,,,1.0
30,298,Undirected,46,,,1.0
30,632,Undirected,47,,,1.0
31,247,Undirected,48,,,1.0
32,628,Undirected,49,,,1.0
33,319,Undirected,50,,,1.0
34,479,Undirected,51,,,1.0
35,83,Undirected,52,,,1.0
36,235,Undirected,53,,,1.0
37,319,Undirected,54,,,1.0
37,118,Undirected,55,,,1.0
37,272,Undirected,56,,,1.0
39,235,Undirected,58,,,1.0
40,533,Undirected,59,,,1.0
41,146,Undirected,60,,,1.0
41,677,Undirected,61,,,1.0
41,368,Undirected,62,,,1.0
